Serving HTTP on 0.0.0.0 port 80 (http://0.0.0.0:80/) ...
127.0.0.1 - - [13/Jun/2025 23:40:15] "GET /hub.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 00:37:27] "GET /advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 00:40:29] "GET /advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 00:42:09] "GET /working-advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 00:48:07] "GET /working-advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 00:49:52] "GET /fixed-advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 00:52:20] "GET /fixed-advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 01:04:36] "GET /advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 01:05:09] "GET /advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 01:06:29] "GET /advanced.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2025 01:06:44] "GET /advanced.html HTTP/1.1" 200 -
